Commons_link,Kannada_Wikisource_link
https://commons.wikimedia.org/wiki/File:ಕಮಲಾಕುಮಾರಿ.djvu,https://kn.wikisource.org/wiki/Index:ಕಮಲಾಕುಮಾರಿ.djvu
https://commons.wikimedia.org/wiki/File:ಕರ್ಣವೃತ್ತಾಂತ ಕಥೆ.djvu,https://kn.wikisource.org/wiki/Index:ಕರ್ಣವೃತ್ತಾಂತ ಕಥೆ.djvu
https://commons.wikimedia.org/wiki/File:ಕರ್ಣಾಟಕ ಮಹಾಭಾರತ ಅರಣ್ಯಪರ್ವ ಸಂಪುಟ ೪.djvu,https://kn.wikisource.org/wiki/Index:ಕರ್ಣಾಟಕ ಮಹಾಭಾರತ ಅರಣ್ಯಪರ್ವ ಸಂಪುಟ ೪.djvu
https://commons.wikimedia.org/wiki/File:ಕರ್ನಾಟಕ ಕವಿಚರಿತೆ ದ್ವಿತೀಯ ಸಂಪುಟ.djvu,https://kn.wikisource.org/wiki/Index:ಕರ್ನಾಟಕ ಕವಿಚರಿತೆ ದ್ವಿತೀಯ ಸಂಪುಟ.djvu
https://commons.wikimedia.org/wiki/File:ಕರ್ನಾಟಕ ಗತವೈಭವ.djvu,https://kn.wikisource.org/wiki/Index:ಕರ್ನಾಟಕ ಗತವೈಭವ.djvu
https://commons.wikimedia.org/wiki/File:ಕರ್ನಾಟಕ ಗ್ರಂಥಮಾಲೆ ೯೮ - ನಡೆವಳಿ.djvu,https://kn.wikisource.org/wiki/Index:ಕರ್ನಾಟಕ ಗ್ರಂಥಮಾಲೆ ೯೮ - ನಡೆವಳಿ.djvu
https://commons.wikimedia.org/wiki/File:ಕರ್ನಾಟಕ ನಂದಿನಿ ವಿಮಲಾದೇವಿ.djvu,https://kn.wikisource.org/wiki/Index:ಕರ್ನಾಟಕ ನಂದಿನಿ ವಿಮಲಾದೇವಿ.djvu
https://commons.wikimedia.org/wiki/File:ಕರ್ನಾಟಕ ನಂದಿನಿ ಸಂಪುಟ ೩.djvu,https://kn.wikisource.org/wiki/Index:ಕರ್ನಾಟಕ ನಂದಿನಿ ಸಂಪುಟ ೩.djvu
https://commons.wikimedia.org/wiki/File:ಕರ್ನಾಟಕ ಮಹಾಭಾರತ ಸಭಾಪರ್ವ ಸಂಪುಟ ೩.djvu,https://kn.wikisource.org/wiki/Index:ಕರ್ನಾಟಕ ಮಹಾಭಾರತ ಸಭಾಪರ್ವ ಸಂಪುಟ ೩.djvu
https://commons.wikimedia.org/wiki/File:ಕರ್ನಾಟಕ ಮಹಾಭಾರತ ೨ನೆಯ ಸಂಪುಟ.djvu,https://kn.wikisource.org/wiki/Index:ಕರ್ನಾಟಕ ಮಹಾಭಾರತ ೨ನೆಯ ಸಂಪುಟ.djvu
https://commons.wikimedia.org/wiki/File:ಕರ್ನಾಟಕ ಮಹಾಭಾರತದ ಸಂಭವಪರ್ವ .djvu,https://kn.wikisource.org/wiki/Index:ಕರ್ನಾಟಕ ಮಹಾಭಾರತದ ಸಂಭವಪರ್ವ .djvu
https://commons.wikimedia.org/wiki/File:ಕರ್ನಾಟಕ ಸಂಜೀವನಂ.djvu,https://kn.wikisource.org/wiki/Index:ಕರ್ನಾಟಕ ಸಂಜೀವನಂ.djvu
https://commons.wikimedia.org/wiki/File:ಕರ್ನಾಟಕ ಸಾಹಿತ್ಯ ಪರಿಷತ್ ಪತ್ರಿಕೆ ಸಂಪುಟ 2.djvu,https://kn.wikisource.org/wiki/Index:ಕರ್ನಾಟಕ ಸಾಹಿತ್ಯ ಪರಿಷತ್ ಪತ್ರಿಕೆ ಸಂಪುಟ 2.djvu
https://commons.wikimedia.org/wiki/File:ಕರ್ನಾಟಕಕ್ಕೆ ದೇವತೆಗಳ ಆಗಮನ.djvu,https://kn.wikisource.org/wiki/Index:ಕರ್ನಾಟಕಕ್ಕೆ ದೇವತೆಗಳ ಆಗಮನ.djvu
https://commons.wikimedia.org/wiki/File:ಕರ್ನಾಟಕದ ಕಲಾವಿದರು ಭಾಗ ೨.djvu,https://kn.wikisource.org/wiki/Index:ಕರ್ನಾಟಕದ ಕಲಾವಿದರು ಭಾಗ ೨.djvu
https://commons.wikimedia.org/wiki/File:ಕವಿಕಾರ್ಯಪ್ರಶಂಸೆ.djvu,https://kn.wikisource.org/wiki/Index:ಕವಿಕಾರ್ಯಪ್ರಶಂಸೆ.djvu
https://commons.wikimedia.org/wiki/File:ಕವಿಸಮಯಂ ಪ್ರಥಮ ಭಾಗ.djvu,https://kn.wikisource.org/wiki/Index:ಕವಿಸಮಯಂ ಪ್ರಥಮ ಭಾಗ.djvu
https://commons.wikimedia.org/wiki/File:ಕಾದಂಬರಿ ಸಂಗ್ರಹ.djvu,https://kn.wikisource.org/wiki/Index:ಕಾದಂಬರಿ ಸಂಗ್ರಹ.djvu
https://commons.wikimedia.org/wiki/File:ಕಾಳೀಸ್ವಯಂವರ.djvu,https://kn.wikisource.org/wiki/Index:ಕಾಳೀಸ್ವಯಂವರ.djvu
https://commons.wikimedia.org/wiki/File:ಕಾವ್ಯಸಾರಂ.djvu,https://kn.wikisource.org/wiki/Index:ಕಾವ್ಯಸಾರಂ.djvu
https://commons.wikimedia.org/wiki/File:ಕಾಶೀ ಕ್ಷೇತ್ರ ಮಹಾತ್ಮೆ.djvu,https://kn.wikisource.org/wiki/Index:ಕಾಶೀ ಕ್ಷೇತ್ರ ಮಹಾತ್ಮೆ.djvu
https://commons.wikimedia.org/wiki/File:ಕಿರ್ಲೋಸ್ಕರ ಲಕ್ಷ್ಮಣರಾಯರು.djvu,https://kn.wikisource.org/wiki/Index:ಕಿರ್ಲೋಸ್ಕರ ಲಕ್ಷ್ಮಣರಾಯರು.djvu
https://commons.wikimedia.org/wiki/File:ಕುರುಕ್ಷೇತ್ರ ಗ್ರಂಥ.djvu,https://kn.wikisource.org/wiki/Index:ಕುರುಕ್ಷೇತ್ರ ಗ್ರಂಥ.djvu
https://commons.wikimedia.org/wiki/File:ಕುರುಕ್ಷೇತ್ರ.djvu,https://kn.wikisource.org/wiki/Index:ಕುರುಕ್ಷೇತ್ರ.djvu
https://commons.wikimedia.org/wiki/File:ಕೃಷ್ಣ ಗೋಪೀವಿಲಾಸಂ.djvu,https://kn.wikisource.org/wiki/Index:ಕೃಷ್ಣ ಗೋಪೀವಿಲಾಸಂ.djvu
https://commons.wikimedia.org/wiki/File:ಕೃಷ್ಣ ವಿಜಯವ್ಯಾಯೋಗಂ.djvu,https://kn.wikisource.org/wiki/Index:ಕೃಷ್ಣ ವಿಜಯವ್ಯಾಯೋಗಂ.djvu
https://commons.wikimedia.org/wiki/File:ಕೆನರೀಸ್ ಭಾಗ ೧.djvu,https://kn.wikisource.org/wiki/Index:ಕೆನರೀಸ್ ಭಾಗ ೧.djvu
https://commons.wikimedia.org/wiki/File:ಕೆಳದಿನೃಪವಿಜಯಂ.djvu,https://kn.wikisource.org/wiki/Index:ಕೆಳದಿನೃಪವಿಜಯಂ.djvu
https://commons.wikimedia.org/wiki/File:ಕೋಹಿನೂರು.djvu,https://kn.wikisource.org/wiki/Index:ಕೋಹಿನೂರು.djvu
https://commons.wikimedia.org/wiki/File:ಕ್ರಾಂತಿವಿಲಾಸ.djvu,https://kn.wikisource.org/wiki/Index:ಕ್ರಾಂತಿವಿಲಾಸ.djvu
https://commons.wikimedia.org/wiki/File:ಗಯ ಚರಿತ್ರ ಅಥವಾ ಕೃಷ್ಣಾರ್ಜುನರ ಸಂಗರ.djvu,https://kn.wikisource.org/wiki/Index:ಗಯ ಚರಿತ್ರ ಅಥವಾ ಕೃಷ್ಣಾರ್ಜುನರ ಸಂಗರ.djvu
https://commons.wikimedia.org/wiki/File:ಚಂದ್ರಮತಿ.djvu,https://kn.wikisource.org/wiki/Index:ಚಂದ್ರಮತಿ.djvu
https://commons.wikimedia.org/wiki/File:ಚಂದ್ರವದನ.djvu,https://kn.wikisource.org/wiki/Index:ಚಂದ್ರವದನ.djvu
https://commons.wikimedia.org/wiki/File:ಚಂದ್ರಶೇಖರ.djvu,https://kn.wikisource.org/wiki/Index:ಚಂದ್ರಶೇಖರ.djvu
https://commons.wikimedia.org/wiki/File:ಚಂದ್ರಹಾಸಾಭ್ಯುದಯಂ.djvu,https://kn.wikisource.org/wiki/Index:ಚಂದ್ರಹಾಸಾಭ್ಯುದಯಂ.djvu
https://commons.wikimedia.org/wiki/File:ಚಂದ್ರಾವಳಿ ವಿಲಾಸಂ.djvu,https://kn.wikisource.org/wiki/Index:ಚಂದ್ರಾವಳಿ ವಿಲಾಸಂ.djvu
https://commons.wikimedia.org/wiki/File:ಚತುರ್ಥಾಂಶಂ.djvu,https://kn.wikisource.org/wiki/Index:ಚತುರ್ಥಾಂಶಂ.djvu
https://commons.wikimedia.org/wiki/File:ಚಮತ್ಕಾರ ಚಿಂತಾಮಣಿ ಕಥೆ.djvu,https://kn.wikisource.org/wiki/Index:ಚಮತ್ಕಾರ ಚಿಂತಾಮಣಿ ಕಥೆ.djvu
https://commons.wikimedia.org/wiki/File:ಚಿಕ್ಕದೇವರಾಯ ಬಿನ್ನಪಂ.djvu,https://kn.wikisource.org/wiki/Index:ಚಿಕ್ಕದೇವರಾಯ ಬಿನ್ನಪಂ.djvu
https://commons.wikimedia.org/wiki/File:ಚೆನ್ನ ಬಸವೇಶವಿಜಯಂ.djvu,https://kn.wikisource.org/wiki/Index:ಚೆನ್ನ ಬಸವೇಶವಿಜಯಂ.djvu
https://commons.wikimedia.org/wiki/File:ಚೋರಚಕ್ರವರ್ತಿ ಪ್ರಥಮಖಂಡ.djvu,https://kn.wikisource.org/wiki/Index:ಚೋರಚಕ್ರವರ್ತಿ ಪ್ರಥಮಖಂಡ.djvu
https://commons.wikimedia.org/wiki/File:ಚೋರಚಕ್ರವರ್ತಿ.djvu,https://kn.wikisource.org/wiki/Index:ಚೋರಚಕ್ರವರ್ತಿ.djvu
https://commons.wikimedia.org/wiki/File:ಜಗನ್ಮೋಹಿನಿ .djvu,https://kn.wikisource.org/wiki/Index:ಜಗನ್ಮೋಹಿನಿ .djvu
