Contributor/Author,Date Accessioned,Date Available,Date Issued,Link,Publisher,Rights,Subjects,Title,Filename,FileSize,Category,Language
Raamaraav Yan',2010-08-10T08:34:27Z,2010-08-10T08:34:27Z,1929//,http://oudl_osmania_ac_in/handle/OUDL/3105,Suchuudhra  Prakat'anaalaya,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Raajasthaana Kathaaval'i Bhaaga 1,198148_OU_Raajasthaana_Kathaaval'i_Bhaaga_1.pdf,12.79Mb,Publications,Kannada
Shan'kara Umaa,2010-08-10T08:55:57Z,2010-08-10T08:55:57Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/3504,Svarnd-a Kirand-a Prakaashana,IN_COPYRIGHT,GENERALITIES;Polygraphies;Collective works,Sudhaa Taran'ga,198484_OU_Sudhaa_Taran'ga.pdf,10.28Mb,Publications,Kannada
Ayyan'gaaraa En' En Shreinivaasa,2010-08-10T08:35:09Z,2010-08-10T08:35:09Z,1932//,http://oudl_osmania_ac_in/handle/OUDL/3202,En' En Shreinivaasa Ayyan'gaaraa,IN_COPYRIGHT,LANGUAGE;LINGUISTICS;LITERATURE;Literature;Poetry;Poems;Verse,San'sakrxta Kavi Charite Dvitiiya San'put'i,198080_OU_San's ... ite_Dvitiiya_San'put'i.pdf,26.59Mb,Publications,Kannada
San'gama Naaraayand-a,2010-08-10T09:46:31Z,2010-08-10T09:46:31Z,1943//,http://oudl_osmania_ac_in/handle/OUDL/4085,Saahitya Bhaan'd'aara,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Akka Tan'gi,198974_OU_Akka_Tan'gi.pdf,11.24Mb,Publications,Kannada
Krxshhnd-amuurti Naad'iga,2010-08-10T09:06:00Z,2010-08-10T09:06:00Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/3640,Naad'iga Krxshhnd-amuurti,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Bhaaratada Viira Ramand-iyaru,198612_OU_Bhaaratada_Viira_Ramand-iyaru.pdf,8.487Mb,Publications,Kannada
And-nd-aaraayaru Mirji,2010-08-10T09:06:00Z,2010-08-10T09:06:00Z,1948//,http://oudl_osmania_ac_in/handle/OUDL/3641,Bhaalachan'dra Phaund-eikara,IN_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Ashooka Chakra Kirand-a 5 6,198726_OU_Ashooka_Chakra_Kirand-a_5_6.pdf,19.89Mb,Publications,Kannada
Deishapaan'd'e Raamachan'dra Hand-uman'ta,2010-08-10T09:06:09Z,2010-08-10T09:06:09Z,1923//,http://oudl_osmania_ac_in/handle/OUDL/3660,Raamachan'dra Hand-uman'ta Deishapaan'd'e,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Chatrapati Sivaaji Mahaaraaja 30,198630_OU_Chatrapati_Sivaaji_Mahaaraaja_30.pdf,54.49Mb,Publications,Kannada
Jiivana En',2010-08-10T09:06:01Z,2010-08-10T09:06:01Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3642,Sit'i Buk St'aal,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,63 Shivasharand-ara Kathegal'u,198686_OU_63_Shivasharand-ara_Kathegal'u.pdf,12.24Mb,Publications,Kannada
Navagiri,2010-08-10T09:46:32Z,2010-08-10T09:46:32Z,1954//,http://oudl_osmania_ac_in/handle/OUDL/4086,Vaahini Prakaashana,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Raand-ii Ajaang-ataa,198977_OU_Raand-ii_Ajaang-ataa.pdf,23.41Mb,Publications,Kannada
Narasin'haachaarya Es Ji,2010-08-10T09:06:01Z,2010-08-10T09:06:01Z,1924//,http://oudl_osmania_ac_in/handle/OUDL/3643,Es JiNarasin'haachaarya,IN_COPYRIGHT,LANGUAGE;LINGUISTICS;LITERATURE;Literature;Literary forms;Genres,Padyasaara Prathama Bhaaga,198607_OU_Padyasaara_Prathama_Bhaaga.pdf,12.53Mb,Publications,Kannada
Raav Ech Pi Ven'kat'a,2010-08-10T10:33:46Z,2010-08-10T10:33:46Z,1948/00/00,http://oudl_osmania_ac_in/handle/OUDL/4664,Karnd-aat'aka Saahitya Man'dira,IN_COPYRIGHT,RELIGION;THEOLOGY,Rxgveida San'hitaa Bhaaga 1,200736_OU_Rxgveida_San'hitaa_Bhaaga_1.pdf,98.67Mb,Publications,Kannada
Kaaran'ta Shivaraama,2010-08-10T09:06:23Z,2010-08-10T09:06:23Z,1946//,http://oudl_osmania_ac_in/handle/OUDL/3682,Shivaraama Kaaran'ta,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Naviina Naat'akagal'u,198732_OU_Naviina_Naat'akagal'u.pdf,6.443Mb,Publications,Kannada
Kallanagaud'aru Paat'eila,2010-08-10T09:06:02Z,2010-08-10T09:06:02Z,1937//,http://oudl_osmania_ac_in/handle/OUDL/3644,Paat'eila Kallanagaud'aru,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Subhaasa Chan'dra Boosa,198626_OU_Subhaasa_Chan'dra_Boosa.pdf,25.16Mb,Publications,Kannada
Huchchayyaa Gadigeyyaa,2010-08-10T09:06:02Z,2010-08-10T09:06:02Z,1919//,http://oudl_osmania_ac_in/handle/OUDL/3645,Gadigeyyaa Huchchayyaa,OUT_OF_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Raamadaasa Svaamigal'a Charitrapu,198697_OU_Raamadaasa_Svaamigal'a_Charitrapu.pdf,12.32Mb,Publications,Kannada
Raav Kord'akaala Shreinivaasa,2010-08-10T09:57:14Z,2010-08-10T09:57:14Z,1930//,http://oudl_osmania_ac_in/handle/OUDL/4238,Kord'akaala Shreinivaasa Raav,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Arogya Prataapa,200200_OU_Arogya_Prataapa.pdf,8.827Mb,Publications,Kannada
Anan'ta Joot'he,2010-08-10T09:06:10Z,2010-08-10T09:06:10Z,1932//,http://oudl_osmania_ac_in/handle/OUDL/3661,Bi Kalyaand-asharmaru,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Vijayanagara Saamraajya,198704_OU_Vijayanagara_Saamraajya.pdf,15.25Mb,Publications,Kannada
Raajaratnan' Ji Pi,2010-08-10T09:06:03Z,2010-08-10T09:06:03Z,1933//,http://oudl_osmania_ac_in/handle/OUDL/3646,Karnd-aat'aka San'ghu,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Hanigal'u,198618_OU_Hanigal'u.pdf,4.079Mb,Publications,Kannada
Raajaratnan' Ji Pi,2010-08-10T09:06:03Z,2010-08-10T09:06:03Z,1933//,http://oudl_osmania_ac_in/handle/OUDL/3647,Raamamoohana Kan'peni,IN_COPYRIGHT,GENERALITIES;Serial publications Periodicals their function  business and editiorial management,Kan'dana Kaavyamaale,198684_OU_Kan'dana_Kaavyamaale.pdf,1.499Mb,Publications,Kannada
Kaal'aachaarya Vei Vin'gaachaarya,2010-08-10T09:06:03Z,2010-08-10T09:06:03Z,1948//,http://oudl_osmania_ac_in/handle/OUDL/3648,Vei Vin'gaachaarya Kaal'aachaarya,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Shrei Mauneishvara Vijaya,198687_OU_Shrei_Mauneishvara_Vijaya.pdf,8.321Mb,Publications,Kannada
Krxshhnd-araaya A Na,2010-08-10T09:57:14Z,2010-08-10T09:57:14Z,1952//,http://oudl_osmania_ac_in/handle/OUDL/4240,Anan'd Bradarsa,IN_COPYRIGHT,LANGUAGE;LINGUISTICS;LITERATURE;Literature;Literature,Saahitya Mattu Yugadharma Bhaaga 3,200292_OU_Saahitya_Mattu_Yugadharma_Bhaaga_3.pdf,10.10Mb,Publications,Kannada
Gookaaka Vi Krx,2010-08-10T09:06:04Z,2010-08-10T09:06:04Z,1945//,http://oudl_osmania_ac_in/handle/OUDL/3649,Lalita Saahitya Maale,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,In'dina Karnaat'aka Maale 12,198721_OU_In'dina_Karnaat'aka_Maale_12.pdf,7.480Mb,Publications,Kannada
Ven'kat'araamayya Ech,2010-08-10T09:06:10Z,2010-08-10T09:06:10Z,1927//,http://oudl_osmania_ac_in/handle/OUDL/3662,Vaay Ji Kulakarnd-i,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Miraabaayi,198673_OU_Miraabaayi.pdf,2.789Mb,Publications,Kannada
Raajaratnan' Ji Pi,2010-08-10T09:06:04Z,2010-08-10T09:06:04Z,1934//,http://oudl_osmania_ac_in/handle/OUDL/3650,Proogres Bukast'aal,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Gulagan'ji,198641_OU_Gulagan'ji.pdf,3.746Mb,Publications,Kannada
Raav Ech Pi Ven'kat'a,2010-08-10T10:33:48Z,2010-08-10T10:33:48Z,1953/00/00,http://oudl_osmania_ac_in/handle/OUDL/4665,Karnd-aat'aka Saahitya Man'dira,IN_COPYRIGHT,RELIGION;THEOLOGY,Rxgveida San'hitaa Bhaaga 23,200731_OU_Rxgveida_San'hitaa_Bhaaga_23.pdf,35.14Mb,Publications,Kannada
Mal'avaad'a Sa Sa,2010-08-10T09:06:04Z,2010-08-10T09:06:04Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/3651,Jaya Prakaashan,IN_COPYRIGHT,LANGUAGE;LINGUISTICS;LITERATURE;Literature;Literature,Pustaka Prapan'cha 2,198719_OU_Pustaka_Prapan'cha_2.pdf,5.188Mb,Publications,Kannada
Nan'janaguud'u,2010-08-10T09:57:15Z,2010-08-10T09:57:15Z,1915//,http://oudl_osmania_ac_in/handle/OUDL/4241,Satiihitveshhind-ii Gran'tha Maalaa,OUT_OF_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Dakshhakanyaa 5,200202_OU_Dakshhakanyaa_5.pdf,14.28Mb,Publications,Kannada
Chaalukya,2010-08-10T09:06:20Z,2010-08-10T09:06:20Z,1940//,http://oudl_osmania_ac_in/handle/OUDL/3676,Chaalukya,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Mul'l'ubeili Mahaayuddha 1914,198728_OU_Mul'l'ubeili_Mahaayuddha_1914.pdf,9.425Mb,Publications,Kannada
Anan'tanaaraayand-a Es,2010-08-10T09:06:05Z,2010-08-10T09:06:05Z,1947//,http://oudl_osmania_ac_in/handle/OUDL/3652,Lalita Saahityamaale,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Muruku Man't'apa,198734_OU_Muruku_Man't'apa.pdf,9.579Mb,Publications,Kannada
Raajaratnan' Ji Pi,2010-08-10T09:05:29Z,2010-08-10T09:05:29Z,1940//,http://oudl_osmania_ac_in/handle/OUDL/3588,Shaakya Saahitya Man't'apa,IN_COPYRIGHT,RELIGION;THEOLOGY;Religions of the Indian subcontinent;Hinduism narrowly,Vaishaakha Shukla Puurnd-imaa,198620_OU_Vaishaakha_Shukla_Puurnd-imaa.pdf,4.347Mb,Publications,Kannada
Raajaratnan' Ji Pi,2010-08-10T09:06:05Z,2010-08-10T09:06:05Z,1938//,http://oudl_osmania_ac_in/handle/OUDL/3653,Shaakya Saahitya Man't'apa,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Bhagavaan Mahaaviira,198710_OU_Bhagavaan_Mahaaviira.pdf,3.971Mb,Publications,Kannada
Bin'dumaadhava Burli,2010-08-10T09:06:11Z,2010-08-10T09:06:11Z,1952//,http://oudl_osmania_ac_in/handle/OUDL/3663,Min'chinabal'l'i Chaavad'i,IN_COPYRIGHT,LANGUAGE;LINGUISTICS;LITERATURE;Literature;Poetry;Poems;Verse,Shrei Saane Guruuji,198718_OU_Shrei_Saane_Guruuji.pdf,34.17Mb,Publications,Kannada
Laqs-minarasin'ha Shrei,2010-08-10T09:06:05Z,2010-08-10T09:06:05Z,1928//,http://oudl_osmania_ac_in/handle/OUDL/3654,Vishvakarnd-aat'aka Pustaka Prakat'anaalaya,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Satyashoodhane Gaan'dhi Aatmakathe Modalaneya Bhaaga,198712_OU_Satyashoodhane_Gaan'dhi_Aatmakathe.pdf,13.27Mb,Publications,Kannada
Su Ta Raa,2010-08-10T09:57:15Z,2010-08-10T09:57:15Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/4242,Ji Ke An'd' Bradarsa,IN_COPYRIGHT,GENERALITIES;Manuscripts;Rare and remarkable works,Kiirtinaaraayand-a,200262_OU_Kiirtinaaraayand-a.pdf,11.02Mb,Publications,Kannada
Gururaav Paavan'ji,2010-08-10T09:06:06Z,2010-08-10T09:06:06Z,1925//,http://oudl_osmania_ac_in/handle/OUDL/3655,Paavan'ji Gururaav,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Vaadiraajarakiirtane Bhaaga 1,198635_OU_Vaadiraajarakiirtane_Bhaaga_1.pdf,5.343Mb,Publications,Kannada
Shaasatrii Ba Shivamuurti,2010-08-10T09:06:06Z,2010-08-10T09:06:06Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3656,Vidyaarthi Prakat'ana Man'dira,IN_COPYRIGHT,LANGUAGE;LINGUISTICS;LITERATURE;Literature;Literature,Sarvajanj-a Muurti 2,198707_OU_Sarvajanj-a_Muurti_2.pdf,8.493Mb,Publications,Kannada
Shreinivaasa,2010-08-10T09:57:16Z,2010-08-10T09:57:16Z,1949//,http://oudl_osmania_ac_in/handle/OUDL/4243,Jiivana Karyaalaya,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Chennabasava Naayaka,200175_OU_Chennabasava_Naayaka.pdf,28.16Mb,Publications,Kannada
Pan'chamukhi Aaraa Es,2010-08-10T09:06:11Z,2010-08-10T09:06:11Z,1953//,http://oudl_osmania_ac_in/handle/OUDL/3664,Kannad'a Risarcha,IN_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Madana Tilakan',198606_OU_Madana_Tilakan'.pdf,6.273Mb,Publications,Kannada
Yii Chiyaan'g,2010-08-10T09:06:12Z,2010-08-10T09:06:12Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/3665,Gaan'dhii Saahitya San'ghu,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Chiinaadalli Nanna Baalya,198670_OU_Chiinaadalli_Nanna_Baalya.pdf,11.12Mb,Publications,Kannada
Krxshhnd-asharma Siddavanahal'l'i,2010-08-10T09:06:20Z,2010-08-10T09:06:20Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3677,Siddavanahal'l'i Krxshhnd-asharma,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Shraddhaan'jali,198669_OU_Shraddhaan'jali.pdf,4.883Mb,Publications,Kannada
Bhiimaseinaraayaru D'i Ke,2010-08-10T09:06:12Z,2010-08-10T09:06:12Z,1951//,http://oudl_osmania_ac_in/handle/OUDL/3666,Kannad'a Risercha Insat'it'yut'a,IN_COPYRIGHT,LANGUAGE;LINGUISTICS;LITERATURE;Literature;Literature,Shabdamand-idarpand-ada Paat'haan'taragal'u,198703_OU_Shabd ... da_Paat'haan'taragal'u.pdf,14.59Mb,Publications,Kannada
Turamari Gan'gaadhara Mad'ivalleshvara,2010-08-10T09:57:16Z,2010-08-10T09:57:16Z,1926//,http://oudl_osmania_ac_in/handle/OUDL/4244,Karnd-aat'aka Vidya Vardhaka San'ghu,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Baand-a Kaadan'barii,200123_OU_Baand-a_Kaadan'barii.pdf,9.863Mb,Publications,Kannada
Raajaratnan' Ji Pi,2010-08-10T09:06:13Z,2010-08-10T09:06:13Z,1946//,http://oudl_osmania_ac_in/handle/OUDL/3667,Satyashoodhana Prakat'ana Man'dira,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Pan'd'itana Neral'u,198640_OU_Pan'd'itana_Neral'u.pdf,7.514Mb,Publications,Kannada
Varma Vrxn'daavanalaal,2010-08-10T09:06:14Z,2010-08-10T09:06:14Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/3668,Kaavyaalaaya Prakaashakaru,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;Biographical and related studies;Biography,Jhaansiya Raand-i Laqs-miibaayi,198627_OU_Jhaansiya_Raand-i_Laqs-miibaayi.pdf,58.50Mb,Publications,Kannada
Shubhaashayagal'u,2010-08-10T09:06:16Z,2010-08-10T09:06:16Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/3669,Maisuuru Sarkaarada Vaartaa,IN_COPYRIGHT,SOCIAL SCIENCES;Law;Jurisprudence,Maisuuru Raajya,198682_OU_Maisuuru_Raajya.pdf,104.0Mb,Publications,Kannada
Madhurachanna,2010-08-10T09:06:21Z,2010-08-10T09:06:21Z,1936//,http://oudl_osmania_ac_in/handle/OUDL/3678,Bi D'i Akki,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Kannad'igara Kulaguru,198693_OU_Kannad'igara_Kulaguru.pdf,5.548Mb,Publications,Kannada
Anan'ta,2010-08-10T09:06:17Z,2010-08-10T09:06:17Z,1930//,http://oudl_osmania_ac_in/handle/OUDL/3670,Shreiraama Pres,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Mahaatmaa Kabiiraadaas,198698_OU_Mahaatmaa_Kabiiraadaas.pdf,3.807Mb,Publications,Kannada
In'diraabaayi Vai Vi,2010-08-10T09:57:17Z,2010-08-10T09:57:17Z,1952//,http://oudl_osmania_ac_in/handle/OUDL/4245,D'i Vi Ke Muurti,IN_COPYRIGHT,GENERALITIES;Prolegomena;Fundamentals of knowledge and culture Computer science,Pariiqs-e Maale 11,200119_OU_Pariiqs-e_Maale_11.pdf,12.91Mb,Publications,Kannada
Raajaratnan' Ji Pi,2010-08-10T09:06:17Z,2010-08-10T09:06:17Z,1948//,http://oudl_osmania_ac_in/handle/OUDL/3671,Hin'd Kitaabsa Limit'id',IN_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Mahaatmara Marand-a,198653_OU_Mahaatmara_Marand-a.pdf,6.354Mb,Publications,Kannada
Pai Ji En Laqs-mand-a,2010-08-10T09:06:18Z,2010-08-10T09:06:18Z,1936//,http://oudl_osmania_ac_in/handle/OUDL/3672,Allid'a Pablishin'g Haus,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Daamaajipan'ta,198733_OU_Daamaajipan'ta.pdf,5.597Mb,Publications,Kannada
Raamaraayaru,2010-08-10T09:06:18Z,2010-08-10T09:06:18Z,1943//,http://oudl_osmania_ac_in/handle/OUDL/3673,Subhoodha Prakat'anaalaya,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Maisuurina Raajyalaqs-miyaru,198668_OU_Maisuurina_Raajyalaqs-miyaru.pdf,18.85Mb,Publications,Kannada
Ven'kat'akrxshhnd-a En,2010-08-10T09:57:18Z,2010-08-10T09:57:18Z,1913//,http://oudl_osmania_ac_in/handle/OUDL/4246,En Ven'kat'akrxshhnd-a,OUT_OF_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,T'elimaakassana Saahasa Charitre Bhaaga 1,200255_OU_T'eli ... hasa_Charitre_Bhaaga_1.pdf,13.63Mb,Publications,Kannada
Gookaara Vi Krx,2010-08-10T09:06:21Z,2010-08-10T09:06:21Z,1934//,http://oudl_osmania_ac_in/handle/OUDL/3679,Raa Ba Jaagiradaara,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Kannad'ada Kid'igal'u Maalaa 1,198672_OU_Kannad'ada_Kid'igal'u_Maalaa_1.pdf,4.963Mb,Publications,Kannada
Masaani Saraa Aaraa Pi,2010-08-10T09:06:19Z,2010-08-10T09:06:19Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/3674,Kaavyaalaya Prakaashakaru,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;Biographical and related studies;Biography,Daadaabhaayi Navarooji,198664_OU_Daadaabhaayi_Navarooji.pdf,17.24Mb,Publications,Kannada
Karki D'i Es,2010-08-10T09:06:24Z,2010-08-10T09:06:24Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/3683,D'i Es Karki,IN_COPYRIGHT,LANGUAGE;LINGUISTICS;LITERATURE;Linguistics and languages;Languages,Kannad'a T'an'doovikaasa,198681_OU_Kannad'a_T'an'doovikaasa.pdf,23.68Mb,Publications,Kannada
Chan'drashekharan' T'i,2010-08-10T09:06:21Z,2010-08-10T09:06:21Z,1954//,http://oudl_osmania_ac_in/handle/OUDL/3680,T'i Chan'drashekharan',IN_COPYRIGHT,SOCIAL SCIENCES;Law;Jurisprudence,Ayoodhyaakaan'd'an' 36,198680_OU_Ayoodhyaakaan'd'an'_36.pdf,18.35Mb,Publications,Kannada
Narasin'hachaarya Raa,2010-08-10T09:06:22Z,2010-08-10T09:06:22Z,1919//,http://oudl_osmania_ac_in/handle/OUDL/3681,Raa Narasin'hachaarya,OUT_OF_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Karnd-aat'aka Kavi Charite 1500 1700 Vol II,198722_OU_Karnd ... arite_1500_1700_Vol_II.pdf,45.01Mb,Publications,Kannada
Javareigaud'a Dei,2010-08-10T09:06:24Z,2010-08-10T09:06:24Z,1949//,http://oudl_osmania_ac_in/handle/OUDL/3684,Cheitara Prakat'anaalaya,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Nevapu Kahiyalla,198629_OU_Nevapu_Kahiyalla.pdf,22.62Mb,Publications,Kannada
Aiyyan'gaara Bi Es Raamasvaami,2010-08-10T09:56:03Z,2010-08-10T09:56:03Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/4090,Shreivaand-i Prakaashana,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Phalapraapti,200248_OU_Phalapraapti.pdf,21.27Mb,Publications,Kannada
Krxshhnd-araaya A Na,2010-08-10T10:17:28Z,2010-08-10T10:17:28Z,1950/02/16,http://oudl_osmania_ac_in/handle/OUDL/4484,Vishvavaand-i Prakat'ana Man'dira,IN_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Marul'asiddha Kaavya,200552_OU_Marul'asiddha_Kaavya.pdf,12.49Mb,Publications,Kannada
Raajaratnan' Ji Pi,2010-08-10T09:06:29Z,2010-08-10T09:06:29Z,1937//,http://oudl_osmania_ac_in/handle/OUDL/3695,Shaakya Saahitya Man't'apa,IN_COPYRIGHT,SOCIAL SCIENCES;Education,Muuru Paali Suutragal'u,198616_OU_Muuru_Paali_Suutragal'u.pdf,6.636Mb,Publications,Kannada
Gookaara Vi Krx,2010-08-10T09:06:30Z,2010-08-10T09:06:30Z,1944//,http://oudl_osmania_ac_in/handle/OUDL/3696,Goo Kulakarnd-i,IN_COPYRIGHT,LANGUAGE;LINGUISTICS;LITERATURE;Literature;Literary forms;Genres,Saahityadalli Pragati,198716_OU_Saahityadalli_Pragati.pdf,7.479Mb,Publications,Kannada
Shivaajiraav,2010-08-10T09:15:25Z,2010-08-10T09:15:25Z,1931//,http://oudl_osmania_ac_in/handle/OUDL/3729,Qs-iirasaagara,IN_COPYRIGHT,GENERALITIES;Polygraphies;Collective works,Trishan'ku Svarga,198871_OU_Trishan'ku_Svarga.pdf,3.073Mb,Publications,Kannada
Ven'kand-nd-ayya T'i Es,2010-08-10T09:06:30Z,2010-08-10T09:06:30Z,1938//,http://oudl_osmania_ac_in/handle/OUDL/3697,Vesli Pres Pablishhin'g Haus,IN_COPYRIGHT,GENERALITIES;Polygraphies;Collective works,Basavaraajadeivara Ragal'i,198610_OU_Basavaraajadeivara_Ragal'i.pdf,8.163Mb,Publications,Kannada
Ven'kat'aramayya Si Ke,2010-08-10T09:56:03Z,2010-08-10T09:56:03Z,1936//,http://oudl_osmania_ac_in/handle/OUDL/4091,Satyashoodhana Pustaka Bhan'd'aara,IN_COPYRIGHT,GENERALITIES,Turaayi,200253_OU_Turaayi.pdf,10.56Mb,Publications,Kannada
Ven'kat'araamappa Ke,2010-08-10T09:06:31Z,2010-08-10T09:06:31Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3698,Ta Ven' Smaaraka Gran'thamaale,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;Biographical and related studies;Biography,Shrei Krxshhnd-ana Kathe,198702_OU_Shrei_Krxshhnd-ana_Kathe.pdf,10.07Mb,Publications,Kannada
Raamaasujaiyan'gaara Aa,2010-08-10T09:06:31Z,2010-08-10T09:06:31Z,1927//,http://oudl_osmania_ac_in/handle/OUDL/3699,Aaji Narasin'hachaaraa,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Shrei Raamaashvameidhan',198658_OU_Shrei_Raamaashvameidhan'.pdf,14.74Mb,Publications,Kannada
Ven'kat'akrxshhnd-ayya En',2010-08-10T09:56:04Z,2010-08-10T09:56:04Z,1920//,http://oudl_osmania_ac_in/handle/OUDL/4092,En' Ven'kat'akrxshhnd-ayya,OUT_OF_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,T'elimaakassana Saahasa Charitre Erad'anei Bhaaga,200251_OU_T'eli ... ritre_Erad'anei_Bhaaga.pdf,11.53Mb,Publications,Kannada
Raa T'i Harshha,2010-08-10T09:06:31Z,2010-08-10T09:06:31Z,1925//,http://oudl_osmania_ac_in/handle/OUDL/3700,Aanan'davana,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Tiirtha Yaatregal'u,198679_OU_Tiirtha_Yaatregal'u.pdf,6.433Mb,Publications,Kannada
Shreinivaasa,2010-08-10T10:17:29Z,2010-08-10T10:17:29Z,1953/02/16,http://oudl_osmania_ac_in/handle/OUDL/4485,Jiivana Kaaryaalaya,IN_COPYRIGHT,GENERALITIES;Polygraphies;Collective works,Navaraatri 1,200554_OU_Navaraatri_1.pdf,23.40Mb,Publications,Kannada
