identifier,file,mediatype,collection,title,creator,publisher,language,description,contributor,date,subject[0],subject[1],subject[3],licenseurl,scanner,source
Aadarshada-Aadanbara-1952,Aadarshada-Aadanbara.pdf,texts,opensource,ಆದರ್ಶದ ಆಡಂಬರ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aadarshada-Aadanbara,Digital Library of India,1952,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364617
Aadikavi-Vaalmiiki-1955,Aadikavi-Vaalmiiki.pdf,texts,opensource,ಆದಿಕವಿ ವಾಲ್ಮೀಕಿ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aadikavi-Vaalmiiki,Digital Library of India,1955,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362985
Aadipuraand-an-41-1946,Aadipuraand-an-41.pdf,texts,opensource,ಆದಿಪುರಾಣ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aadipuraand-an-41,Digital Library of India,1946,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363643
Aahaara-Vijaang-ana-1933,Aahaara-Vijaang-ana.pdf,texts,opensource,ಆಹಾರ ವಿಜ್ಞಾನ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aahaara-Vijaang-ana,Digital Library of India,1933,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363010
Aakaasha-Diipa-1952,Aakaasha-Diipa.pdf,texts,opensource,ಆಕಾಶದೀಪ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aakaasha-Diipa,Digital Library of India,1952,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364486
Aakasmika-1955,Aakasmika.pdf,texts,opensource,ಆಕಸ್ಮಿಕ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aakasmika,Digital Library of India,1955,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362670
Aaladaralaa-7-1949,Aaladaralaa-7.pdf,texts,opensource,ಆಲದ ಹೂ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aaladaralaa-7,Digital Library of India,1949,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364485
Aanandamatha-1930,Aanandamatha.pdf,texts,opensource,ಆನಂದಮಾತಾ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aanandamatha,Digital Library of India,1930,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362579
Aanandavardhanana-Kaavyamiimaanse-1951,Aanandavardhanana-Kaavyamiimaanse.pdf,texts,opensource,ಆನಂದವರ್ಧನ ಕಾವ್ಯಮೀಮಾಂಸೆ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aanandavardhanana-Kaavyamiimaanse,Digital Library of India,1951,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363599
Aaroogya-Prataapa-1930,Aaroogya-Prataapa.pdf,texts,opensource,ಆರೋಗ್ಯ ಪ್ರತಾಪ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aaroogya-Prataapa,Digital Library of India,1930,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364468
Aaryadharma-Pradiipa-1946,Aaryadharma-Pradiipa.pdf,texts,opensource,ಆರ್ಯಧರ್ಮ ಪ್ರದೀಪ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aaryadharma-Pradiipa,Digital Library of India,1946,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363295
Aashaa-Baalu-1952,Aashaa-Baalu.pdf,texts,opensource,ಆಶಾ ಬಾಳು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aashaa-Baalu,Digital Library of India,1952,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362674
Aashiirvaada-1955,Aashiirvaada.pdf,texts,opensource,ಆಶೀರ್ವಾದ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aashiirvaada,Digital Library of India,1955,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364794
Aashunaatakagalu-1942,Aashunaatakagalu.pdf,texts,opensource,ಆಶುನಾಟಕಗಳು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aashunaatakagalu,Digital Library of India,1942,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363402
Aastika-1952,Aastika.pdf,texts,opensource,ಆಸ್ತಿಕ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aastika,Digital Library of India,1952,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362840
Aathmahuthi-1999,Aathmahuthi.pdf,texts,opensource,ಆತ್ಮಾಹುತಿ,ಶಿವರಾಮು,ಮಿತ್ರಮಾಧ್ಯಮ,kan,Aathmahuthi,Digital Library of India,1999,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,S.V. Digital Library- Tirupati,http://www.dli.ernet.in/handle/2015/381980
Aatma-Saakshhaatkaara-1949,Aatma-Saakshhaatkaara.pdf,texts,opensource,ಆತ್ಮ ಸಾಕ್ಷಾತ್ಕಾರ ಮಾರ್ಗ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aatma-Saakshhaatkaara,Digital Library of India,1949,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363074
Aatmabali-1933,Aatmabali.pdf,texts,opensource,ಆತ್ಮಬಲಿ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aatmabali,Digital Library of India,1933,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364676
Aatmashaktiya-Teijassu-1935,Aatmashaktiya-Teijassu.pdf,texts,opensource,ಆತ್ಮಶಕ್ತಿಯ ತೇಜಸ್ಸು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aatmashaktiya-Teijassu,Digital Library of India,1935,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363453
Aayurveidasaara-Dvitiiya-1933,Aayurveidasaara-Dvitiiya.pdf,texts,opensource,ಆಯುರ್ವೇದಸಾರ ದ್ವಿತೀಯ ಭಾಗ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aayurveidasaara-Dvitiiya,Digital Library of India,1933,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363011
Abhaya-1952,Abhaya.pdf,texts,opensource,ಅಭಯ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Abhaya,Digital Library of India,1952,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362633
Abhidhaana-Vastu-1933,Abhidhaana-Vastu.pdf,texts,opensource,ಅಭಿಧಾನ ವಸ್ತು ಕೋಶಂ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Abhidhaana-Vastu,Digital Library of India,1933,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363565
Abhinava-Panpa-1934,Abhinava-Panpa.pdf,texts,opensource,ಅಭಿನವ ಪಂಪ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Abhinava-Panpa,Digital Library of India,1934,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362697
Abhinava-Saamaajika-1900,Abhinava-Saamaajika.pdf,texts,opensource,ಅಭಿನವ ಸಾಮಾಜಿಕ ಅಭ್ಯಾಸಗಳು,ಶ್ರೀ ಶಾಮರಾಯರು ಗಜೇಂದ್ರಗಡ ಮತ್ತು ಶ್ರೀ ನರೇಗಲ್ ಪ್ರಹ್ಲಾದರಾಯರು,ಜೆ. ಬಾಪಟ್,kan,Abhinava-Saamaajika,Digital Library of India,1900,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/325275
Abhisheika-Naataka-1924,Abhisheika-Naataka.pdf,texts,opensource,ಅಭಿಷೇಕ ನಾಟಕ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Abhisheika-Naataka,Digital Library of India,1924,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364491
Abhyudaya-1946,Abhyudaya.pdf,texts,opensource,ಅಭ್ಯುದಯ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Abhyudaya,Digital Library of India,1946,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363032
Acaropasanam-1929,Acaropasanam.pdf,texts,opensource,ಆಚಾರ್ಯೋಪಾಸನಂ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಯು.ಡಿ.ಎಲ್ ಟಿ.ಟಿ.ಡಿ ತಿರುಪತಿ,kan,Acaropasanam,Digital Library of India,1929,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363686
Acaryopasanam-1954,Acaryopasanam.pdf,texts,opensource,ಆಚಾರ್ಯೋಪಾಸನಂ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಮಿತ್ರಮಾಧ್ಯಮ,kan,Acaryopasanam,Digital Library of India,1954,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363989
Acharya-satakatrayam-1996,Acharya-satakatrayam.pdf,texts,opensource,ಆಚಾರ್ಯ   ಶತಕತ್ರಯಂ,ಶ್ರೀ ಬಾಲಗುರು ರುಚಿರಚಾರ್ಯ,ಯು.ಡಿ.ಎಲ್ ಟಿ.ಟಿ.ಡಿ ತಿರುಪತಿ,kan,Acharya-satakatrayam,Digital Library of India,1996,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,S.V. Digital Library- Tirupati,http://www.dli.ernet.in/handle/2015/382128
Achchaada-Kannada-1951,Achchaada-Kannada.pdf,texts,opensource,ಅಚ್ಚಾದ ಕನ್ನಡ ಗ್ರಂಥಗಳು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Achchaada-Kannada,Digital Library of India,1951,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363431
Achchina-Mattu-1950,Achchina-Mattu.pdf,texts,opensource,ಅಚ್ಚಿನ ಮತ್ತು ಕೈ ಬರಹದ ಕರ್ನಾಟಕ ಪುಸ್ತಕ ಪಟ್ಟಿ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Achchina-Mattu,Digital Library of India,1950,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363325
Adbhuta-Preima-1928,Adbhuta-Preima.pdf,texts,opensource,ಅದ್ಭುತ ಪ್ರೇಮ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Adbhuta-Preima,Digital Library of India,1928,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364558
Adbhutaraamaayand-an-28-1946,Adbhutaraamaayand-an-28.pdf,texts,opensource,ಅದ್ಭುತ ರಾಮಾಯಣ ೨೮,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Adbhutaraamaayand-an-28,Digital Library of India,1946,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363491
Adhyatma-Ramayana-1990,Adhyatma-Ramayana.pdf,texts,opensource,ಆಧ್ಯಾತ್ಮ ರಾಮಾಯಣ ಬಾಲಕಾಂಡ ಅಯೋಧ್ಯ ಕಾಂಡ,ಎನ್. ಕೆ. ಹೆಗ್ಡೆ,ಮಿತ್ರಮಾಧ್ಯಮ,kan,Adhyatma-Ramayana,Digital Library of India,1990,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,S.V. Digital Library- Tirupati,http://www.dli.ernet.in/handle/2015/382139
Adyatma-Ramayanam-1992,Adyatma-Ramayanam.pdf,texts,opensource,ಆಧ್ಯಾತ್ಮ ರಾಮಾಯಣ,ಎನ್. ಕೆ. ಹೆಗ್ಡೆ,ಮಿತ್ರಮಾಧ್ಯಮ,kan,Adyatma-Ramayanam,Digital Library of India,1992,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,S.V. Digital Library- Tirupati,http://www.dli.ernet.in/handle/2015/382151
Adyatma-Vidya-1970,Adyatma-Vidya.pdf,texts,opensource,ಆದ್ಯಾತ್ಮ ವಿದ್ಯೆ,ಬಿ. ವೆಂಕಟರಾಮು,ಮಿತ್ರಮಾಧ್ಯಮ,kan,Adyatma-Vidya,Digital Library of India,1970,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,S.V. Digital Library- Tirupati,http://www.dli.ernet.in/handle/2015/381986
Agni-Kanye-1947,Agni-Kanye.pdf,texts,opensource,ಅಗ್ನಿಕನ್ಯೆ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Agni-Kanye,Digital Library of India,1947,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364724
Ahintaka-1934,Ahintaka.pdf,texts,opensource,ಅಹಿಂತಕ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Ahintaka,Digital Library of India,1934,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364492
Aisaak-Nyuutan-1950,Aisaak-Nyuutan.pdf,texts,opensource,ಐಸಾಕ್ ನ್ಯೂಟನ್,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aisaak-Nyuutan,Digital Library of India,1950,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364111
Aitihaasika-Kathagalu-1955,Aitihaasika-Kathagalu.pdf,texts,opensource,ಐತಿಹಾಸಿಕ ಕಥೆಗಳು,ರಣಜಿತಸಿಂಗ್‌,ಜೆ. ಬಾಪಟ್,kan,Aitihaasika-Kathagalu,Digital Library of India,1955,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/325250
Akka-Tangi-1943,Akka-Tangi.pdf,texts,opensource,ಅಕ್ಕ ತಂಗಿ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Akka-Tangi,Digital Library of India,1943,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364659
Akkaaji-1942,Akkaaji.pdf,texts,opensource,ಅಕ್ಕಾಜಿ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Akkaaji,Digital Library of India,1942,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362836
Alaru-1931,Alaru.pdf,texts,opensource,ಆಲರು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Alaru,Digital Library of India,1931,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363125
Allaahooakabara-1931,Allaahooakabara.pdf,texts,opensource,ಅಲ್ಲಾಹೋ ಅಕ್ಬರ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Allaahooakabara,Digital Library of India,1931,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364629
Amaatyanandini-1938,Amaatyanandini.pdf,texts,opensource,ಆಮಾತ್ಯನಂದಿನಿ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Amaatyanandini,Digital Library of India,1938,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364561
Amara-Shatakam-1953,Amara-Shatakam.pdf,texts,opensource,ಅಮರು ಶತಕಂ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Amara-Shatakam,Digital Library of India,1953,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363225
Amarakoosha-Prathama-1953,Amarakoosha-Prathama.pdf,texts,opensource,ಅಮರಕೋಶ ಪ್ರಥಮ ಖಂಡ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Amarakoosha-Prathama,Digital Library of India,1953,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363132
Amarkhosa-Emba-1970,Amarkhosa-Emba.pdf,texts,opensource,ಅಮರಕೋಶ,ಬಾಲಸುಬ್ರಮಣ್ಯ,ಮಿತ್ರಮಾಧ್ಯಮ,kan,Amarkhosa-Emba,Digital Library of India,1970,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,S.V. Digital Library- Tirupati,http://www.dli.ernet.in/handle/2015/381989
Baadada-Huuvu-1947,Baadada-Huuvu.pdf,texts,opensource,ಬಾಡದ ಹೂವು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Baadada-Huuvu,Digital Library of India,1947,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363182
Baadida-Balli-1951,Baadida-Balli.pdf,texts,opensource,ಬಾಡಿದ ಬಳ್ಳಿ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Baadida-Balli,Digital Library of India,1951,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362578
Baala-Bandhana-1954,Baala-Bandhana.pdf,texts,opensource,ಬಾಳ ಬಂಧನ ೪,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Baala-Bandhana,Digital Library of India,1954,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364757
Baala-Deiguladalli-1953,Baala-Deiguladalli.pdf,texts,opensource,ಬಾಳದೇಗುಲದಲ್ಲಿ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Baala-Deiguladalli,Digital Library of India,1953,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363583
Baala-Kanasu-1947,Baala-Kanasu.pdf,texts,opensource,ಬಾಲ ಕನಸು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Baala-Kanasu,Digital Library of India,1947,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363120
Baala-Raamaayand-a-1929,Baala-Raamaayand-a.pdf,texts,opensource,ಬಾಲರಾಮಾಯಣ ಆವೃತ್ತಿ ೫,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Baala-Raamaayand-a,Digital Library of India,1929,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363573
Baalabhaagavata-1929,Baalabhaagavata.pdf,texts,opensource,ಬಾಲಭಾಗವತ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Baalabhaagavata,Digital Library of India,1929,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363503
Baalakaandavu-1934,Baalakaandavu.pdf,texts,opensource,ಬಾಲಕಾಂಡವು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Baalakaandavu,Digital Library of India,1934,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363193
Baalina-Gida-1949,Baalina-Gida.pdf,texts,opensource,ಬಾಳಿನ ಗಿಡ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Baalina-Gida,Digital Library of India,1949,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364740
Baaluri-Jiivana-1934,Baaluri-Jiivana.pdf,texts,opensource,ಬಾಳುರಿ ಜೀವನ ಜ್ವಾಲೆ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Baaluri-Jiivana,Digital Library of India,1934,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362690
