identifier,file,mediatype,collection,title,creator,publisher,language,description,contributor,date,subject[0],subject[1],subject[3],licenseurl,scanner,source
Maangalya-1951,Maangalya.pdf,texts,opensource,ಮಾಂಗಲ್ಯ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Maangalya,Digital Library of India,1951,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364426
Maatagaatri-Kaavyamaala-1945,Maatagaatri-Kaavyamaala.pdf,texts,opensource,ಮಾಟಗಾತಿ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Maatagaatri-Kaavyamaala,Digital Library of India,1945,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364089
Maatrxshrei-1952,Maatrxshrei.pdf,texts,opensource,ಮಾತೃಶ್ರೀ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Maatrxshrei,Digital Library of India,1952,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362864
Maavina-Toopu-1933,Maavina-Toopu.pdf,texts,opensource,ಮಾವಿನ ತೋಪು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Maavina-Toopu,Digital Library of India,1933,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364746
Madhuvana-1935,Madhuvana.pdf,texts,opensource,ಮಧುವನ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Madhuvana,Digital Library of India,1935,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364791
Maduveyoo-Manehaaloo-1950,Maduveyoo-Manehaaloo.pdf,texts,opensource,ಮದುವೆಯೋ ಮನೆಹಾಳೋ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Maduveyoo-Manehaaloo,Digital Library of India,1950,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363418
Magala-Maduve-1952,Magala-Maduve.pdf,texts,opensource,ಮಗಳ ಮದುವೆ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Magala-Maduve,Digital Library of India,1952,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362577
Magalalla-Handati-1948,Magalalla-Handati.pdf,texts,opensource,ಮಗಳಲ್ಲ - ಹೆಂಡತಿ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Magalalla-Handati,Digital Library of India,1948,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362557
Maguvina-Kuugu-1950,Maguvina-Kuugu.pdf,texts,opensource,ಮಗುವಿನ ಕೂಗು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Maguvina-Kuugu,Digital Library of India,1950,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363105
Mahaa-Bhaarataamrxta-1931,Mahaa-Bhaarataamrxta.pdf,texts,opensource,ಮಹಾಭಾರತಾಮೃತ ಆದಿಪರ್ವ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Mahaa-Bhaarataamrxta,Digital Library of India,1931,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363605
Mahaabraahmand-a-1951,Mahaabraahmand-a.pdf,texts,opensource,ಮಹಾಬ್ರಾಹ್ಮಣ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Mahaabraahmand-a,Digital Library of India,1951,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364556
Mahaapuujaakalpa-1948,Mahaapuujaakalpa.pdf,texts,opensource,ಮಹಾಪೂಜಾಕಲ್ಪ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Mahaapuujaakalpa,Digital Library of India,1948,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363477
Mahaatyaaga-1955,Mahaatyaaga.pdf,texts,opensource,ಮಹಾತ್ಯಾಗ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Mahaatyaaga,Digital Library of India,1955,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362839
Mahabharata-Tatparya-1993,Mahabharata-Tatparya.pdf,texts,opensource,ಮಹಭಾರತ ತಾತ್ಪರ್ಯ ನಿರ್ಣಯ ೪,ಆರ್. ಹೆಚ್. ಕುಲಕರ್ಣಿ,ಯು.ಡಿ.ಎಲ್ ಟಿ.ಟಿ.ಡಿ ತಿರುಪತಿ,kan,Mahabharata-Tatparya,Digital Library of India,1993,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,S.V. Digital Library- Tirupati,http://www.dli.ernet.in/handle/2015/382251
Mahapurana-Volume-1992,Mahapurana-Volume.pdf,texts,opensource,ಮಹಾಪುರಾಣ ೧,ಭಗವಜ್ಜಿನಸೇನಾಚಾರ್ಯ ಮತ್ತು ಗುಣಭಧ್ರಾಚಾರ್ಯ,ಶೃಂಗೇರಿ ಶಾರದ ಪೀಠಂ,kan,Mahapurana-Volume,Digital Library of India,1992,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,Sringeri Sharada Peetham,http://www.dli.ernet.in/handle/2015/382225
Makkala-Maatu-1953,Makkala-Maatu.pdf,texts,opensource,ಮಕ್ಕಳ ಮಾತು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Makkala-Maatu,Digital Library of India,1953,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362698
Makkala-Pustaka-1935,Makkala-Pustaka.pdf,texts,opensource,ಮಕ್ಕಳ ಪುಸ್ತಕ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Makkala-Pustaka,Digital Library of India,1935,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362948
Makkalivareinamma-1937,Makkalivareinamma.pdf,texts,opensource,ಮಕ್ಕಳಿವರೇನಮ್ಮ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Makkalivareinamma,Digital Library of India,1937,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364502
Malamagalu-1944,Malamagalu.pdf,texts,opensource,ಮಲಮಗಳು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Malamagalu,Digital Library of India,1944,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362625
Malegaalada-Malenaadu-1933,Malegaalada-Malenaadu.pdf,texts,opensource,ಮಳೆಗಾಲದ ಮಲೆನಾಡು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Malegaalada-Malenaadu,Digital Library of India,1933,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364838
Naada-Haadugalu-1940,Naada-Haadugalu.pdf,texts,opensource,ನಾಡ ಹಾಡುಗಳು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Naada-Haadugalu,Digital Library of India,1940,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363237
Naada-Padagalu-1943,Naada-Padagalu.pdf,texts,opensource,ನಾಡ ಪದಗಳು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Naada-Padagalu,Digital Library of India,1943,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363641
Naaligaagi-1950,Naaligaagi.pdf,texts,opensource,ನಾಳೆಗಾಗಿ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Naaligaagi,Digital Library of India,1950,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362617
Naalmand-i-Kaduku-1939,Naalmand-i-Kaduku.pdf,texts,opensource,ನಾಲ್ಮಣಿ ಕಡುಕು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Naalmand-i-Kaduku,Digital Library of India,1939,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362945
Naatakakale-1924,Naatakakale.pdf,texts,opensource,ನಾಟಕಕಲೆ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Naatakakale,Digital Library of India,1924,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363360
Nachikeita-1934,Nachikeita.pdf,texts,opensource,ನಚಿಕೇತ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Nachikeita,Digital Library of India,1934,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364605
Nadugaala-Prabhutva-1946,Nadugaala-Prabhutva.pdf,texts,opensource,ನಡುಗಾಲ ಪ್ರಭುತ್ವ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Nadugaala-Prabhutva,Digital Library of India,1946,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363569
Nagna-Satya-1950,Nagna-Satya.pdf,texts,opensource,ಸಗ್ನ ಸತ್ಯ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Nagna-Satya,Digital Library of India,1950,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364765
Naitika-Mattu-1931,Naitika-Mattu.pdf,texts,opensource,ನೈತಿಕ ಮತ್ತು ಭಕ್ತಿಯ ವಚನಗಳು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Naitika-Mattu,Digital Library of India,1931,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363215
Nala-Charitre-1938,Nala-Charitre.pdf,texts,opensource,ನಳ ಚರಿತ್ರೆ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Nala-Charitre,Digital Library of India,1938,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364552
Nalachanpu-1952,Nalachanpu.pdf,texts,opensource,ನಲಚಂಪು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Nalachanpu,Digital Library of India,1952,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362872
Nalapaaka-1947,Nalapaaka.pdf,texts,opensource,ನಳಪಾಕ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Nalapaaka,Digital Library of India,1947,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364640
Namma-Halligalu-1936,Namma-Halligalu.pdf,texts,opensource,ನಮ್ಮ ಹಳ್ಳಿಗಳು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Namma-Halligalu,Digital Library of India,1936,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362974
Namma-Kavitegalu-1939,Namma-Kavitegalu.pdf,texts,opensource,ನಮ್ಮ ಕವಿತೆಗಳು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Namma-Kavitegalu,Digital Library of India,1939,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362984
Namma-Naduvina-1951,Namma-Naduvina.pdf,texts,opensource,ನಮ್ಮ ನಡುವಿನ ಗೋಡೆ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Namma-Naduvina,Digital Library of India,1951,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364564
Namma-Samasye-1997,Namma-Samasye.pdf,texts,opensource,ನಮ್ಮ ಸಮಸ್ಯೆಗಳಿಗೆ ಭಗವದ್ಗೀತಾ ಪರಿಷ್ಕಾರ,ಎಸ್. ಬಿ. ರಘುನಂದಾಚಾರ್ಯ,ಮಿತ್ರಮಾಧ್ಯಮ,kan,Namma-Samasye,Digital Library of India,1997,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,S.V. Digital Library- Tirupati,http://www.dli.ernet.in/handle/2015/382254
Nandaadiipa-12-1938,Nandaadiipa-12.pdf,texts,opensource,ನಂದಾದೀಪ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Nandaadiipa-12,Digital Library of India,1938,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362737
Nandanavana-1-1936,Nandanavana-1.pdf,texts,opensource,ನಂದನವನ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Nandanavana-1,Digital Library of India,1936,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362814
OctoberSapthagiri1984Kannada-1984,OctoberSapthagiri1984Kannada.pdf,texts,opensource,೧೯೮೪ ಅಕ್ಟೋಬರ್ ಸಪ್ತಗಿರಿ ಕನ್ನಡ,ಕೆ. ಸುಬ್ಬರಾವ್,ಮಿತ್ರಮಾಧ್ಯಮ,kan,OctoberSapthagiri1984Kannada,Digital Library of India,1984,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,S.V. Digital Library- Tirupati,http://www.dli.ernet.in/handle/2015/494677
Odeyara-Kaalada-1946,Odeyara-Kaalada.pdf,texts,opensource,ಒಡೆಯರ ಕಾಲದ ಕಥೆಗಳು,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Odeyara-Kaalada,Digital Library of India,1946,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364798
Paadukaa-Pattaabhishheika-1929,Paadukaa-Pattaabhishheika.pdf,texts,opensource,ಪಾದುಕಾ ಪಟ್ಟಾಭಿಷೇಕ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Paadukaa-Pattaabhishheika,Digital Library of India,1929,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364481
Paandavavijaya-1925,Paandavavijaya.pdf,texts,opensource,ಪಾಂಡವವಿಜಯ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Paandavavijaya,Digital Library of India,1925,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364497
Paarvatiibaayi-Aathavaali-1940,Paarvatiibaayi-Aathavaali.pdf,texts,opensource,ಪಾರ್ವತೀಬಾಯಿ ಅಠವಲೆ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Paarvatiibaayi-Aathavaali,Digital Library of India,1940,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363667
Paatadagitti-1955,Paatadagitti.pdf,texts,opensource,ಪಾತರಗಿತ್ತಿ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Paatadagitti,Digital Library of India,1955,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364603
Padyasudhaadaayinii-Bhaaga-1927,Padyasudhaadaayinii-Bhaaga.pdf,texts,opensource,ಪದ್ಯಸುಧಾದಾಯಿನೀ ಭಾಗ ೧,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Padyasudhaadaayinii-Bhaaga,Digital Library of India,1927,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363185
