Title,Author,Link,ReadOnline,BarCode,Year,FileFormat,Publisher,Source,DigitalPublisher,PublicationDate,ScanningCenter,Language,TotalPages,
divyaagamada saara prasaadisthalada mahima,kantayya svaami,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=5010010047069,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data6/upload/0163/958&first=1&last=66&barcode=5010010047069,5010010047069,1957,Tagged Image File Format,Not Available,SCL-BNG ,Sringeri Sharada Peetham,0000-00-00,rmsc; iiith,Kannada ,66,
Doond-iya Binada Kavi,kantayya svaami,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020029010,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/851&first=1&last=82&barcode=2030020029010,2030020029010,1943,Tagged Image File Format,Kaavyaalaya,NONE,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,82,
Doond-iya Binada Mattu Kavi,kantayya svaami,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020029177,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/999&first=1&last=76&barcode=2030020029177,2030020029177,1943,Tagged Image File Format,Kaavyaalaya,NONE,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,76,
Doremagalu,kantayya svaami,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020028120,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/136&first=1&last=133&barcode=2030020028120,2030020028120,1954,Tagged Image File Format,Kannad'a Prapan'cha Prakaashana,NONE,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,133,
Dr. C. R. Reddy,Sundaram R. V. S.,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=99999990129314,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/rawdataupload1/upload/0127/976&first=1&last=70&barcode=99999990129314,99999990129314,1986,Tagged Image File Format,Sahitya Akademi,SA,Digital Library of India,2/4/2005,cdac;noida,kannada ,70,
Dr. C. R. Reddy,Sundaram R. V. S.,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=99999990175670,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data1/upload/0029/980&first=1&last=70&barcode=99999990175670,99999990175670,1986,NULL,Sahitya Akademi,SA,Digital Library of India,2/4/2005,cdac;noida,kannada ,70,
Dr. D V Gundappa,Unknown,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=99999990129368,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/rawdataupload1/upload/0128/030&first=1&last=170&barcode=99999990129368,99999990129368,1988,NULL,National Book Trust,NBT,Digital Library of India,12/14/2004,cdac;noida,kannada ,170,
Dr. D V Gundappa,Unknown,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=99999990175724,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data1/upload/0030/034&first=1&last=170&barcode=99999990175724,99999990175724,1988,NULL,National Book Trust,NBT,Digital Library of India,12/14/2004,cdac;noida,kannada ,170,
Droupadi Samikshe,V.K.Manimalini,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2040100046864,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data/upload/0046/869&first=1&last=263&barcode=2040100046864,2040100046864,1996,Tiff,University of Mumbai Mumbai,Poorna Prajna Vidya Pheeta Banglore,Udl Ttd Tirupati,0000-00-00,ttd; s.v digital library,kannada ,263,
Druva Charite,N.S.Lakshhminarayana Bhatta,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2040100046865,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data/upload/0046/870&first=1&last=222&barcode=2040100046865,2040100046865,1983,Tiff,B.M.Sri Memorial Foundation Bangalore,Poorna Prajna Vidya Pheeta Banglore,Udl Ttd Tirupati,0000-00-00,ttd; s.v digital library,kannada ,222,
